type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,active,pqc,vvpq,2023-11-01t19:30:00.000,hph,vvci,,2023-11-01t21:35:00.000,,h1,h1,4499,h14499,h14499,vietjet air,vj,vjc,768,vj768,vjc768,,7.0,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t21:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t19:30:00.000,hph,vvci,,2023-11-01t21:35:00.000,vietjet air,vj,vjc,768,vj768,vjc768,,,,,,,,7.0,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t21:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t19:50:00.000,sgn,vvts,1,2023-11-01t21:35:00.000,vietnam airlines,vn,hvn,6522,vn6522,hvn6522,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:00:00.000,sgn,vvts,1,2023-11-01t21:00:00.000,,a1,a1,2332,a12332,a12332,vietjet air,vj,vjc,332,vj332,vjc332,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:00:00.000,sgn,vvts,1,2023-11-01t21:00:00.000,flexflight,w2,fxt,4332,w24332,fxt4332,vietjet air,vj,vjc,332,vj332,vjc332,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:00:00.000,sgn,vvts,1,2023-11-01t21:00:00.000,,h1,h1,4358,h14358,h14358,vietjet air,vj,vjc,332,vj332,vjc332,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:00:00.000,sgn,vvts,1,2023-11-01t21:00:00.000,vietjet air,vj,vjc,332,vj332,vjc332,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:30:00.000,han,vvnb,1,2023-11-01t22:40:00.000,bamboo airways,qh,bav,1628,qh1628,bav1628,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t20:30:00.000,sgn,vvts,1,2023-11-01t21:45:00.000,vietnam airlines,vn,hvn,1834,vn1834,hvn1834,,,,,,,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t22:05:00.000,sgn,vvts,1,2023-11-01t23:15:00.000,bamboo airways,qh,bav,1524,qh1524,bav1524,,,,,,,,,,,,,,,,,,,,,
